id,lad_name,house_price,imd_score,income_score,employment_score,edu_score,health_score,crime_score,housing_barriers_score,living_envir_score,income_decile,employment_decile,edu_decile,health_decile,crime_decile,housing_barriers_decile,living_envir_decile
E07000102,Three Rivers,574362.7358,9.832773585,0.070188679,0.052867925,12.03411321,-1.089037736,-0.414528302,21.95501887,9.248584906,7.509433962,7.811320755,7.339622642,8.716981132,7.075471698,5.188679245,8.018867925
E07000103,Watford,406264.1509,15.42984906,0.092660377,0.068264151,13.22798113,-0.396660377,0.156754717,24.81950943,21.63898113,6.396226415,6.962264151,6.716981132,6.905660377,4.886792453,4.245283019,5.169811321
E07000105,Ashford,309352.6987,18.56555128,0.109294872,0.082551282,22.59653846,-0.444589744,0.104820513,28.64680769,15.5875,5.666666667,6.012820513,4.935897436,7.166666667,5.217948718,3.692307692,6.794871795
E07000106,Canterbury,307929.1364,17.5692,0.104266667,0.084455556,18.739,-0.117533333,0.142044444,23.13241111,12.34235556,5.955555556,6.077777778,5.788888889,5.911111111,4.977777778,4.922222222,7.511111111
E07000107,Dartford,322860.9483,18.83653448,0.094655172,0.072568966,19.57748276,-0.233275862,0.552534483,24.78291379,26.81437931,6.482758621,6.706896552,5.275862069,6.431034483,3.413793103,4.465517241,4.086206897
E07000108,Dover,249448.0746,22.08968657,0.133402985,0.111059701,24.66922388,-0.029597015,0.135253731,23.40726866,16.0169403,4.895522388,4.47761194,4.776119403,5.567164179,5.268656716,5.029850746,6.52238806
E07000109,Gravesham,313577.9688,20.742375,0.117515625,0.091359375,26.3478125,-0.165265625,0.79609375,15.46178125,18.78378125,5.609375,5.5625,4.265625,6.140625,2.71875,7.171875,5.75
E07000110,Maidstone,318223.6,16.17516842,0.092263158,0.070621053,18.68497895,-0.497863158,-0.040526316,24.71318947,22.05946316,6.589473684,6.831578947,5.936842105,7.431578947,5.6,4.505263158,5.389473684
E07000111,Sevenoaks,488864.6622,12.56666216,0.076108108,0.057621622,13.46695946,-1.019716216,0.133162162,23.175,17.197,7.243243243,7.635135135,6.824324324,8.878378378,4.972972973,4.986486486,6.324324324
E07000112,Folkestone and Hythe,274285.7239,23.98501493,0.142820896,0.120686567,25.63458209,0.129253731,-0.037044776,24.0069403,19.4991194,4.626865672,4.059701493,4.462686567,4.910447761,5.76119403,4.880597015,5.910447761
E07000113,Swale,273144.5941,27.34463529,0.150023529,0.121352941,34.4556,0.253835294,0.450588235,24.10352941,19.55418824,4.741176471,4.564705882,3.823529412,4.658823529,3.811764706,4.811764706,5.952941176
E07000114,Thanet,245520.1488,30.31544048,0.179464286,0.146857143,31.20427381,0.357654762,0.650369048,21.36188095,18.23520238,3.80952381,3.428571429,3.928571429,4.19047619,3.44047619,5.357142857,5.928571429
E07000115,Tonbridge and Malling,381726.9507,13.16238889,0.079597222,0.064763889,16.91577778,-0.732847222,-0.202180556,23.38591667,14.51569444,7.138888889,7.152777778,6.222222222,8.097222222,6.152777778,4.972222222,6.944444444
E07000116,Tunbridge Wells,426890.6716,11.35182353,0.073029412,0.058602941,12.59927941,-0.8655,-0.385970588,20.80230882,19.03767647,7.176470588,7.441176471,7.176470588,8.411764706,7.014705882,5.544117647,6.073529412
E07000117,Burnley,107404.1417,37.30198333,0.19935,0.159133333,34.97861667,1.076283333,0.75505,10.67935,37.01836667,3.65,3.216666667,3.566666667,2.066666667,3.233333333,8.6,3.416666667
